,Aircraft Equipment Problem,Airspace Violation,ATC Issue,Conflict,Deviation - Altitude,Deviation - Procedural,Deviation - Speed,Deviation - Track/Heading,Flight Deck/Cabin Event,Ground Event/Encounter,Ground Excursion,Ground Incursion,Inflight Event/Encounter
Aircraft Equipment Problem,49305,648,1507,2282,5336,25857,1181,3957,6354,4750,1192,620,9726
Airspace Violation,648,6834,1795,1337,361,6196,43,870,62,32,3,132,1014
ATC Issue,1507,1795,29422,16890,3938,20935,618,3433,180,734,65,1920,5074
Conflict,2282,1337,16890,46285,5093,28288,440,3750,222,2469,306,4424,3895
Deviation - Altitude,5336,361,3938,5093,28369,24300,1227,2716,317,119,2,45,7365
Deviation - Procedural,25857,6196,20935,28288,24300,112606,3863,18009,5875,7534,1328,11066,22122
Deviation - Speed,1181,43,618,440,1227,3863,5000,443,229,193,68,24,2185
Deviation - Track/Heading,3957,870,3433,3750,2716,18009,443,20268,230,164,48,330,4485
Flight Deck/Cabin Event,6354,62,180,222,317,5875,229,230,12291,636,40,79,1325
Ground Event/Encounter,4750,32,734,2469,119,7534,193,164,636,14234,2670,811,2219
Ground Excursion,1192,3,65,306,2,1328,68,48,40,2670,3718,122,1038
Ground Incursion,620,132,1920,4424,45,11066,24,330,79,811,122,12601,429
Inflight Event/Encounter,9726,1014,5074,3895,7365,22122,2185,4485,1325,2219,1038,429,38658
